名称	代码	最新价	日涨幅	溢价率	日均成交（万）	近一月	年初至今	近一年	近三年	近五年	规模（亿）	运作费率	跟踪指数	上市日期	基金公司	分类
材料ETF	159944	1.21	-0.025	-0.0033	22.3	0.0911	-0.0457	0.0661	0.653	0.394	0.201	0.006	全指材料	42191	广发基金	行业，原材料
基本面120ETF	159910	2.165	-0.0159	-0.0092	2.11	0.0623	-0.1094	-0.1199	0.1696	0.3764	4.06	0.006	深证F120指数	40813	嘉实基金	策略，价值
物联网ETF工银	159709	0.821	-0.0012	-0.0012	70.53	0.0512	-0.1863	-0.1707	-	-	1.3	0.0052	物联网50指数	44379	工银瑞信基金	行业，TMT，物联网
深300ETF	159912	1.724	-0.0115	-0.0115	22.38	0.1065	-0.1341	-0.1423	0.3814	0.317	0.832	0.006	深证300指数	40871	汇添富基金	宽基，大盘股
深创龙头ETF	159721	0.827	-0.0072	-0.0012	430.1	0.1012	-0.1578	-0.1747	-	-	0.839	0.002	深创100指数	44372	永赢基金	主题，新兴产业，科技
中创400ETF	159918	1.964	-0.0272	0.0098	1.9	0.099	-0.1461	-0.1329	0.4494	0.0582	0.649	0.006	中创400指数	41040	嘉实基金	宽基，中小盘
证券行业ETF	516200	0.917	-0.0119	-0.0022	615.2	0.0638	-0.1892	-0.0992	-	-	0.246	0.006	证券公司指数	44277	华安基金	行业，金融，证券
香港科技ETF	159747	0.641	-0.0184	-0.0031	4476.62	0.1325	-0.1072	-	-	-	3.07	0.0065	港股科技港币指数	44391	南方基金	跨境，香港，科技
恒生生物科技ETF	159892	0.709	-0.0084	-0.0042	4673.36	0.2661	-0.1025	-	-	-	1.51	0.0065	恒生香港上市生物科技指数	44488	华夏基金	跨境，香港，生物科技
H股ETF基金	159823	0.746	-0.0223	-0.0053	98.3	0.0448	-0.0485	-0.2388	-	-	0.528	0.002	恒生中国企业指数	44127	嘉实基金	跨境，香港，中概股
港股通ETF	159711	0.981	-0.0141	0.0072	427.5	0.0403	-0.016	-	-	-	0.768	0.006	港股通50港元指数	44558	华夏基金	跨境，香港
恒生国企ETF	513680	0.758	-0.0207	0.0026	85.29	0.0398	-0.0381	-0.2004	-0.2121	-	0.277	0.006	恒生中国企业指数	43486	建信基金	跨境，香港，中概股
双创ETF	159780	0.688	-0.0015	0	11506.9	0.0903	-0.1858	-0.2951	-	-	36.88	0.006	科创创业50指数	44382	南方基金	宽基，中小盘
银行ETF华夏	515020	1.155	-0.012	0	521.65	0.0331	-0.0111	-0.0685	-	-	6.63	0.006	中证银行指数	43802	华夏基金	行业，金融，银行
饮食ETF	159736	1.004	-0.0233	0.001	3968.28	0.1057	-0.0889	-	-	-	69.41	0.006	CS食品饮指数	44466	天弘基金	行业，食品饮料
国联安沪深300ETF	515660	4.936	-0.011	-0.0018	268.59	0.0877	-0.0886	-0.095	-	-	5.84	0.0035	沪深300指数	43823	国联安基金	宽基，大盘股
稀土ETF易方达	159715	0.85	-0.0185	-0.0012	3331.92	0.1379	-0.0801	-	-	-	3.42	0.002	稀土产业指数	44449	易方达基金	主题，稀土
1000ETF基金	516300	1.11	-0.0107	0.0009	2215.56	0.0756	-0.1225	0.0045	-	-	0.49	0.006	中证1000指数	44279	华泰柏瑞基金	宽基，中小盘
电池ETF基金	562880	0.999	-0.006	-0.004	2916.48	0.2228	-0.0567	-	-	-	2.12	0.006	CS电池指数	44397	嘉实基金	主题，新兴产业，新能源车
沪深300ETF南方	159925	2.146	-0.0133	-0.0009	263.28	0.0877	-0.0964	-0.1092	0.2698	0.4231	17.21	0.006	沪深300指数	41375	南方基金	宽基，大盘股
沪深300ETF	159919	4.458	-0.0126	-0.0011	46142.38	0.0881	-0.0968	-0.1147	0.1933	0.3063	176.13	0.006	沪深300指数	41057	嘉实基金	宽基，大盘股
科创ETF	588050	1.138	0.0098	-0.0026	22033.43	0.0179	-0.2075	-0.2988	-	-	39.16	0.006	科创50指数	44151	工银瑞信基金	宽基，中小盘
生物科技ETF港股	159615	1.032	-0.0039	-0.0096	20403.61	-	-	-	-	-	11.09	0.0065	恒生香港上市生物科技指数	44740	南方基金	跨境，香港，生物科技
500ETF基金	512500	3.4	-0.0116	0.0003	19462.08	0.0662	-0.115	-0.0263	0.346	0.1371	40.79	0.006	中证500指数	42153	华夏基金	宽基，中小盘
港股科技50ETF	513980	0.603	-0.0131	-0.0066	12691	0.1356	-0.1223	-0.3666	-	-	5.03	0.006	HKC科技人民币指数	44379	景顺长城基金	跨境，香港，科技
500价值ETF	159617	0.982	-0.015	-0.0041	11813.98	-	-	-	-	-	10.8	0.006	500价值稳健指数	44742	华夏基金	策略，价值，低波动
泰康沪深300ETF	515380	4.649	-0.0134	-0.0006	11734.27	0.0882	-0.0938	-0.1128	-	-	39.76	0.0045	沪深300指数	43913	泰康资产	宽基，大盘股
恒生科技指数ETF	159742	0.615	-0.0238	-0.0032	9105.04	0.0847	-0.1252	-0.3679	-	-	3.73	0.0065	恒生科技指数	44341	博时基金	跨境，香港，科技
国泰中证500ETF	561350	0.933	-0.0127	0	6288.34	0.0602	-0.1072	-	-	-	1.78	0.006	中证500指数	44440	国泰基金	宽基，中小盘
5年地方债ETF	511060	102.038	-0.0001	0	5853.86	-0.0034	0.0276	0.0387	-	-	5.61	0.002	上证5年期地债指数	43811	海富通基金	债券，地方政府债，利率债
新能源ETF	159875	1.03	-0.0039	-0.001	5926.56	0.2089	0.001	-	-	-	4.86	0.006	中证新能指数	44425	嘉实基金	主题，新兴产业，新能源
港股科技30ETF	513160	0.842	-0.0255	-0.0036	5296.18	0.0408	-	-	-	-	0.615	0.006	恒生港股通中国科技指数	44601	银华基金	跨境，香港，科技
平安沪深300ETF	510390	4.496	-0.0127	-0.0004	5237.69	0.087	-0.0972	-0.1094	0.2472	-	7.39	0.006	沪深300指数	43126	平安基金	宽基，大盘股
双创龙头ETF	588330	0.69	0	0	4893.48	0.09	-0.1815	-	-	-	12.24	0.006	科创创业50指数	44383	华宝基金	宽基，中小盘
港股通科技ETF	513860	0.595	-0.0116	-0.01	4834.79	0.1226	-0.1301	-0.3743	-	-	3.87	0.006	HKC科技港币全收益指数	44379	海富通基金	跨境，香港，科技
工银上证50ETF	510850	3.165	-0.0162	-0.0006	4490.91	0.0861	-0.0727	-0.0947	0.0624	-	3.23	0.006	上证50指数	43530	工银瑞信基金	宽基，大盘股
科创信息ETF	588260	1.018	0.018	0.001	4449.13	-0.0737	-	-	-	-	6	0.006	科创信息指数	44708	华安基金	行业，信息技术
科创创业ETF	588360	0.719	-0.0014	-0.0014	4270.69	0.0877	-0.1764	-	-	-	5.83	0.006	科创创业50指数	44383	国泰基金	宽基，中小盘
大湾区ETF	512970	1.272	-0.0109	-0.0031	3350.84	0.0734	-0.1215	-0.1276	-	-	3.43	0.002	大湾区指数	43780	平安基金	主题，区域，大湾区
上证综指ETF	510760	1.051	-0.0122	-0.001	3337.58	0.05	-0.0532	0.0214	-	-	2.44	0.006	上证指数	44083	国泰基金	宽基，综合
香港医药ETF	513700	0.616	-0.0016	-0.0112	3013.61	0.2419	-0.1007	-	-	-	3.24	0.006	HKC医药C人民币指数	44414	鹏华基金	跨境，香港，医药
证券公司ETF	516730	0.846	-0.0105	0.0012	2816.57	0.0709	-0.1966	-	-	-	1.11	0.006	证券公司30指数	44512	浦银安盛基金	行业，金融，证券
中金科技先锋ETF	560990	1.027	-0.0087	-0.0048	2656.3	-	-	-	-	-	3.88	0.0055	科技先锋指数	44739	中金基金	策略，成长，动量
科技50ETF	515750	1.284	-0.0047	-0.0016	2582.26	0.0691	-0.2199	-0.1613	-	-	6.6	0.006	中证科技指数	43805	富国基金	主题，新兴产业，科技
新材料50ETF	159761	0.957	-0.0144	-0.0031	2460.46	0.1815	0.0031	-	-	-	2.99	0.006	新材料指数	44543	国泰基金	主题，新兴产业，新材料
张江ETF	517850	1.096	0.0055	-0.0036	2531.67	0.0651	-	-	-	-	11.81	0.002	SHS张江50指数	44697	汇添富基金	跨境，香港，科技
恒生国企ETF	159850	0.676	-0.0217	-0.0029	2374.83	0.0464	-0.0452	-0.243	-	-	6.11	0.0065	恒生中国企业指数	44246	华夏基金	跨境，香港，中概股
央创ETF	515900	1.223	-0.0177	-0.0016	2367.24	0.0209	-0.0927	0.1068	-	-	47.96	0.002	央企创新指数	43817	博时基金	主题，央企
智能汽车ETF	159889	0.927	0.0054	0	2432.54	0.0754	-0.2063	-	-	-	1.05	0.006	CS智汽车指数	44448	国泰基金	主题，智能汽车
科创创业50ETF	588390	0.762	0.0026	0.004	2319.72	0.0933	-0.178	-	-	-	3.75	0.006	科创创业50指数	44438	博时基金	宽基，中小盘
泰康碳中和ETF	560560	1.01	-0.003	0	2076.88	0.1676	-0.0117	-	-	-	1.91	0.006	内地低碳指数	44452	泰康资产	主题，低碳
300ETF天弘	515330	1.172	-0.0135	0.0009	2016.9	0.0902	-0.0957	-0.1128	-	-	61.48	0.006	沪深300指数	43825	天弘基金	宽基，大盘股
中证500ETF博时	159968	7.369	-0.0131	0.0022	1986.45	0.0655	-0.1121	-0.0016	-	-	6.76	0.002	中证500指数	43769	博时基金	宽基，中小盘
创新药ETF易方达	516080	0.802	-0.016	0	2022.48	0.2115	-0.0999	-0.2067	-	-	2.78	0.002	CS创新药指数	44250	易方达基金	行业，医药
港股通科技50ETF	513150	0.955	-0.0134	-0.0093	1970.46	0.1262	-	-	-	-	0.67	0.006	HKC科技港币指数	44603	华泰柏瑞基金	跨境，香港，科技
H股ETF	159954	0.742	-0.0224	-0.004	1924.21	0.0306	-0.0655	-0.2222	-0.2639	-	3.35	0.006	恒生中国企业指数	43174	南方基金	跨境，香港，中概股
MSCI中国A股ETF	512160	1.579	-0.0137	0	1886.13	0.089	-0.091	-0.0836	0.4743	-	5.11	0.006	MSCI中国A股国际通指数	43217	南方基金	MSCI
ESGETF	516720	0.916	-0.0151	-0.0011	1837.67	0.0626	-0.0822	-	-	-	0.865	0.006	ESG120策略指数	44421	浦银安盛基金	主题，ESG
上海金ETF基金	159831	3.819	-0.0215	-0.0016	1827.79	-0.0414	-	-	-	-	3.7	0.006	上海金	44658	嘉实基金	商品，黄金
消费50ETF	159798	1.123	-0.0166	0.0009	1823.6	0.1086	-	-	-	-	3.27	0.006	CS消费50指数	44692	易方达基金	行业，消费
银行业ETF	512820	1.131	-0.0105	0.0009	1728.56	0.0329	-0.0139	-0.0886	-0.0026	-	6.97	0.006	中证银行指数	43427	汇添富基金	行业，金融，银行
5年地债ETF	159972	110.745	-0.0005	-0.0028	1677.39	0.0003	0.0221	0.0598	-	-	39.03	0.002	5年地债指数	43777	鹏华基金	债券，地方政府债，利率债
核心50ETF	560650	1.03	-0.0218	-0.0029	1740.84	-	-	-	-	-	5.08	0.006	企业核心竞争力50指数	44739	民生加银基金	主题，ESG
网购ETF	517280	0.842	-0.0152	-0.0036	1671.19	0.0551	-0.1688	-	-	-	0.245	0.006	SHS线上消费人民币指数	44533	天弘基金	跨境，香港，线上消费
龙头家电ETF	159730	0.921	-0.0139	0.0022	1740.83	0.0722	-0.1076	-	-	-	0.295	0.006	龙头家电指数	44554	博时基金	行业，家电
上投摩根MSCIAETF	515770	1.282	-0.0138	0	1586.06	0.0837	-0.0934	-0.075	-	-	1.21	0.002	MSCI中国A股人民币指数	44001	上投摩根基金	MSCI
碳中和ETF基金	562300	1.013	-0.003	-0.002	1565.92	0.1671	-	-	-	-	2.8	0.006	内地低碳指数	44566	银华基金	主题，低碳
沪港深创新药ETF	159748	0.826	-0.0084	-0.0012	1595.59	0.2477	-0.1022	-	-	-	1.94	0.006	SHS创新药人民币指数	44533	富国基金	行业，医药
证券ETF基金	159848	0.761	-0.0091	0	1513.88	0.0658	-0.1939	-0.0685	-	-	2.13	0.0055	证券公司指数	44267	国联安基金	行业，金融，证券
有色金属ETF	159871	1.3	-0.0226	-0.0015	1525.65	0.1226	-0.0114	0.1628	-	-	0.43	0.006	中证有色指数	44286	银华基金	行业，资源，有色金属
智能电动车ETF	159720	0.973	0	0.0021	1492.3	0.1597	-0.0838	-	-	-	1.11	0.006	智能电车指数	44397	泰康资产	主题，智能汽车
创业板ETF南方	159948	2.992	-0.0056	0.0003	1355.05	0.1429	-0.1531	-0.1596	0.8469	0.5698	22.15	0.002	创业板指	42521	南方基金	宽基，中小盘
沪深300ETF博时	515130	1.323	-0.0127	0.0008	1339.02	0.0853	-0.0951	-0.1061	-	-	0.47	0.002	沪深300指数	43962	博时基金	宽基，大盘股
MSCI中国ETF	512380	1.433	-0.0117	0.0007	1331.51	0.0831	-0.0925	-0.0683	0.4622	-	1.92	0.006	MSCI中国A股本地指数	43585	银华基金	MSCI
浦银MSCI中国ETF	515780	1.492	-0.0145	-0.002	1286.11	0.0891	-0.0841	-0.0533	-	-	2.01	0.002	MSCI中国A股人民币指数	43980	浦银安盛基金	MSCI
中证500指数ETF	512510	1.669	-0.0124	0.0012	1229.93	0.0671	-0.1103	0.0048	0.5439	0.3183	5.5	0.002	中证500指数	42167	华泰柏瑞基金	宽基，中小盘
